idx,Year,Event,Category,Region/Global,Impact,labels
63,1983,Creation of the World Wide Web,Electronics,Global,Connected World,Electronics
64,2005,Jennifer Doudna and Emmanuelle Charpentier Introduce CRISPR-Cas9 for Genome Editing,Genetics,Global,Innovation,CRISPR-Cas9
65,2003,CRISPR Gene Editing Discovered,Genetics,Global,Revolutionary,Medical Breakthrough
66,2012,Pluto Reclassified as a Dwarf Planet,Space Exploration,Global,Astronomical,Space Discovery
68,2010,Invention of the Foldable Smartphone Display,Technology,Global,Groundbreaking,Electronics
69,2003,Complete Human Genome Sequenced,Genetics,Global,Foundational,Genetics Research
70,1988,First Cloned Animal,Medicine,Global,Revolutionary,Biotechnology
72,1939,First Instrument Landing System,Transportation,Global,Safety Improvement,Aviation
73,1991,Introduction of the DVD,Electronics,Global,Storage Revolution,Electronics
76,2015,First Inflatable Space Habitat Launched,Space Exploration,Global,Experimental,Space Discovery
78,2013,Development of the First Smartwatch with Heart Rate Monitor,Technology,Global,Innovative,Electronics
79,2010,CRISPR Gene Editing Breakthrough,Genetics,Global,Revolutionary,Genetics Innovation
80,1989,Discovery of Human Genome,Genetics,Global,Groundbreaking,Genetics
82,1940,Introduction of Jet Engine,Transportation,Global,Technological,Aviation
83,2000,Launch of the iPod,Electronics,Global,Portable Media,Electronics
86,2018,First Automated Rover to Mars,Space Exploration,Global,Technological,Space Discovery
88,2015,Introduction of 5G Technology,Technology,Global,Game-changing,Electronics
89,2015,Gene Therapy Clinical Trials for Lysosomal Storage Disorders,Medical,Global,Significant,Genetics Therapy
90,2000,Human Genome Project Completed,Genetics,Global,Groundbreaking,Genetics
92,1947,First Jet Airliner - De Havilland Comet,Transportation,Global,Technological,Aviation
93,2007,Introduction of the iPhone,Electronics,Global,Mobile Communication,Electronics
96,2020,First Human Mars Rover Landing,Space Exploration,Global,Historic,Space Discovery
98,2020,First Solar-Powered Smartphone,Technology,Global,Sustainable,Electronics
99,2018,CRISPR-Cas9 Used to Edit Human Embryos,Genetics,Global,Controversial,Genetics Ethics
